SKU,Product Name,Image URL
105594,Rectangular Base 6036 - Corner L/R - 3 in.,https://res.cloudinary.com/american-bath-group/image/upload/websites-product-info-and-content/maax/products/shower-bases/105594/images/maax-105594-000-001.jpg
105596,Gallery SH-4834,https://res.cloudinary.com/american-bath-group/image/upload/websites-product-info-and-content/maax/products/showers/105596/images/maax-105596-002.jpg
105598,Gallery SH-3636,https://res.cloudinary.com/american-bath-group/image/upload/websites-product-info-and-content/maax/products/showers/105598/images/maax-105598-002.jpg
105600,Gallery SH-3232,https://res.cloudinary.com/american-bath-group/image/upload/websites-product-info-and-content/maax/products/showers/105600/images/maax-105600-002.jpg
105623,Finesse 32 X 60,https://res.cloudinary.com/american-bath-group/image/upload/v1623181605/websites-product-info-and-content/maax/products/shower-bases/105623/images/maax-105623-000-002.jpg
105624,Finesse 48 X 32,https://res.cloudinary.com/american-bath-group/image/upload/v1623181614/websites-product-info-and-content/maax/products/shower-bases/105624/images/maax-105624-000-002.jpg
105625,Finesse 42 X 32,https://res.cloudinary.com/american-bath-group/image/upload/v1623181627/websites-product-info-and-content/maax/products/shower-bases/105625/images/maax-105625-000-002.jpg
105663,Square Base 32 - Alcove - 3 in,https://res.cloudinary.com/american-bath-group/image/upload/websites-product-info-and-content/maax/products/shower-bases/105663/images/maax-105663-000-001.jpg
105664,Rectangular Base 6036 - 3 in,https://res.cloudinary.com/american-bath-group/image/upload/websites-product-info-and-content/maax/products/shower-bases/105664/images/maax-105664-000-001.jpg
105666,Rectangular Base 6036 - R/L Drain - 3 in.,https://res.cloudinary.com/american-bath-group/image/upload/websites-product-info-and-content/maax/products/shower-bases/105666/images/maax-105666-000-001.jpg
105674,TSEA Plus,https://res.cloudinary.com/american-bath-group/image/upload/websites-product-info-and-content/maax/products/tub-showers/105674/images/maax-105674-002.jpg
105684,Corinthia II,https://res.cloudinary.com/american-bath-group/image/upload/v1675962201/abg-graphics/original-images/maax/retail/retail/bathtubs/corinthiaii/jpeg/maax-corinthia2-6030-deco.jpg
105704,Rubix 6032 AFR,https://res.cloudinary.com/american-bath-group/image/upload/websites-product-info-and-content/maax/products/bathtubs/105704/images/maax-105704-001.jpg
105705,Rubix 6032,https://res.cloudinary.com/american-bath-group/image/upload/websites-product-info-and-content/maax/products/bathtubs/105705/images/maax-105705-001.jpg
105706,Rectangular Base 6032 - 3 in,https://res.cloudinary.com/american-bath-group/image/upload/websites-product-info-and-content/maax/products/shower-bases/105706/images/maax-105706-000-001.jpg
105707,Rectangular Base 6030 - 3 in,https://res.cloudinary.com/american-bath-group/image/upload/websites-product-info-and-content/maax/products/shower-bases/105707/images/maax-105707-000-001.jpg
105714,Square Base 42 - Alcove - 3 in,https://res.cloudinary.com/american-bath-group/image/upload/websites-product-info-and-content/maax/products/shower-bases/105714/images/maax-105714-000-001.jpg
105716,Rectangular Base 6042 - 3 in,https://res.cloudinary.com/american-bath-group/image/upload/websites-product-info-and-content/maax/products/shower-bases/105716/images/maax-105716-000-001.jpg
105717,Rectangular Base 4836 - 3 in,https://res.cloudinary.com/american-bath-group/image/upload/websites-product-info-and-content/maax/products/shower-bases/105717/images/maax-105517-000-001.jpg
105718,Rectangular Base 4236 - 3 in.,https://res.cloudinary.com/american-bath-group/image/upload/websites-product-info-and-content/maax/products/shower-bases/105718/images/maax-105718-000-001.jpg
105726,Murmur 6032 A,https://res.cloudinary.com/american-bath-group/image/upload/websites-product-info-and-content/maax/products/bathtubs/105726/images/maax-105726-001.jpg
105734,Rubix 6632 AFR,https://res.cloudinary.com/american-bath-group/image/upload/websites-product-info-and-content/maax/products/bathtubs/105734/images/maax-105734-001.jpg
105735,Rubix 6632,https://res.cloudinary.com/american-bath-group/image/upload/websites-product-info-and-content/maax/products/bathtubs/105735/images/maax-105735-001.jpg
105753,Corner 3636,https://res.cloudinary.com/american-bath-group/image/upload/websites-product-info-and-content/maax/products/walls/105753/images/maax-105753-000-001.jpg
105815,Rubix 6030,https://res.cloudinary.com/american-bath-group/image/upload/websites-product-info-and-content/maax/products/bathtubs/105815/images/maax-105815-001.jpg
105816,Rubix 6030 AFR,https://res.cloudinary.com/american-bath-group/image/upload/websites-product-info-and-content/maax/products/bathtubs/105816/images/maax-105816-001.jpg
105817,Rubix 6030 DTF,https://res.cloudinary.com/american-bath-group/image/upload/websites-product-info-and-content/maax/products/bathtubs/105817/images/maax-105817-001.jpg
105818,Rubix 6030 AFR DTF,https://res.cloudinary.com/american-bath-group/image/upload/websites-product-info-and-content/maax/products/bathtubs/105818/images/maax-105818-001.jpg
105819,Rubix 6032 DTF,https://res.cloudinary.com/american-bath-group/image/upload/websites-product-info-and-content/maax/products/bathtubs/105819/images/maax-105819-001.jpg
105820,Rubix 6032 AFR DTF,https://res.cloudinary.com/american-bath-group/image/upload/websites-product-info-and-content/maax/products/bathtubs/105820/images/maax-105820-001.jpg
105821,Brome 6030,https://res.cloudinary.com/american-bath-group/image/upload/websites-product-info-and-content/maax/products/bathtubs/105821/images/maax-105821-001.jpg
105822,Cocoon 6030 IFS,https://res.cloudinary.com/american-bath-group/image/upload/websites-product-info-and-content/maax/products/bathtubs/105822/images/maax-105822-001.jpg
